Global_Frame_ID,Object_ID,Class_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2,Polygon_Coords,Image_Path
0,1,0,851,364,16601,0,"894,224;880,224;878,282;864,313;845,272;831,273;825,261;830,277;815,283;806,241;796,268;818,358;778,340;790,319;772,338;743,345;826,367;826,382;785,377;825,382;841,464;825,488;836,498;876,493;901,472;900,459;876,454;875,397;893,389;908,415;900,382;880,384;875,374;911,340;929,303;882,340;871,335;902,262",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r631_c0_f0000.jpg
0,2,0,1009,251,8951,0,"1020,174;993,186;1010,193;994,226;978,224;987,236;928,248;903,262;974,258;977,266;963,286;974,305;1031,271;1038,315;1027,335;1033,337;1040,320;1050,342;1058,298;1041,255;1087,260;1035,242;1063,229;1069,219;1034,227;1036,193;1061,187",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r631_c0_f0000.jpg
1,1,0,849,363,18311,0,"893,222;880,224;863,311;847,273;825,259;815,275;806,241;795,270;818,356;782,338;791,316;741,345;826,372;782,378;830,393;840,465;826,489;835,498;882,490;901,471;900,459;877,451;877,397;893,390;900,419;910,400;900,382;878,374;929,303;884,338;871,332;896,268",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r841_c0_f0001.jpg
1,2,0,1006,250,8650,0,"899,258;899,266;968,259;974,268;962,292;974,305;1031,271;1036,312;1049,339;1055,289;1042,258;1050,253;1078,266;1059,249;1033,245;1036,235;1061,231;1069,218;1040,233;1034,229;1036,192;1060,187;1022,174;997,182;1009,194;986,238;927,246",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r841_c0_f0001.jpg
2,1,0,849,364,18403,0,"892,222;879,224;863,308;847,273;826,259;815,281;817,250;806,241;794,270;816,357;775,335;790,314;742,345;772,347;819,371;781,378;829,392;840,463;825,488;835,498;882,490;901,472;900,459;879,453;875,403;893,390;902,419;910,400;900,382;877,375;929,303;882,340;874,335;897,259",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r550_c0_f0002.jpg
2,2,0,1005,249,8145,0,"900,255;900,263;970,260;976,266;963,292;974,305;1020,270;1031,270;1030,313;1044,318;1049,332;1053,284;1042,261;1065,261;1032,242;1037,235;1061,231;1069,219;1040,233;1032,227;1036,192;1060,187;1031,175;999,181;1010,193;984,241;932,245",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r550_c0_f0002.jpg
3,1,0,849,366,17854,0,"891,222;879,224;863,308;826,260;815,292;815,245;807,240;797,256;799,308;818,355;774,334;790,313;742,340;826,372;782,377;829,392;840,466;825,488;837,498;881,490;901,470;879,450;876,398;891,389;903,419;909,395;877,372;911,340;929,303;881,344;873,335;896,261",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r262_c0_f0003.jpg
3,2,0,1005,251,8546,0,"897,257;899,263;947,256;970,260;975,266;961,288;974,307;1013,274;1026,271;1030,275;1026,314;1041,323;1049,316;1053,296;1049,275;1059,271;1059,265;1050,253;1031,248;1031,236;1037,234;1031,221;1036,192;1040,188;1061,191;1031,175;998,181;1010,192;983,241;927,245",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r262_c0_f0003.jpg
4,1,0,850,367,16793,0,"883,221;865,307;844,275;825,275;815,292;807,243;794,270;822,351;775,337;826,370;825,378;783,382;830,392;840,465;825,487;834,497;882,489;901,470;899,459;879,451;875,397;891,388;900,419;910,414;900,382;880,384;875,375;910,341;928,302;877,345;870,323;894,252",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r134_c0_f0004.jpg
4,2,0,1003,251,8588,0,"892,256;896,262;968,259;974,266;959,287;972,307;1010,274;1024,271;1026,305;1018,330;1022,333;1024,317;1032,316;1040,341;1047,301;1056,292;1052,259;1030,246;1031,217;1040,188;1060,189;1032,175;998,181;1009,188;1009,195;984,240;920,245",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r134_c0_f0004.jpg
5,1,0,850,367,16791,0,"884,222;875,224;867,264;875,280;864,308;849,294;845,261;838,275;816,282;806,246;793,264;795,292;822,351;776,334;827,372;781,382;830,393;840,466;825,489;834,497;882,489;901,470;900,459;879,449;874,397;892,389;901,417;910,414;909,397;876,373;910,341;928,303;881,347;872,336;892,255",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r360_c0_f0005.jpg
5,2,0,1001,252,8843,0,"881,261;969,260;973,267;959,288;973,308;990,288;1022,270;1027,282;1012,335;1032,316;1038,328;1034,335;1040,339;1044,299;1061,296;1052,284;1050,258;1030,247;1031,217;1039,189;1061,192;1032,175;997,181;1009,187;1009,194;984,239;911,246",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r360_c0_f0005.jpg
6,1,0,851,365,17042,0,"883,220;874,226;873,252;840,274;826,266;818,300;809,249;797,253;791,282;821,351;777,329;827,371;781,382;830,393;839,467;825,488;834,497;872,493;901,471;899,459;877,451;874,397;893,390;900,419;910,414;909,397;898,382;880,384;876,372;911,340;929,303;881,347;871,335;891,256",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r588_c0_f0006.jpg
6,2,0,1000,251,8894,0,"1061,192;1032,175;996,181;1009,192;979,241;910,245;881,261;968,259;972,267;957,288;969,309;975,309;994,283;1022,268;1027,282;1012,336;1030,316;1038,319;1040,332;1044,297;1060,297;1061,292;1053,286;1050,259;1029,245;1030,218;1040,188",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r588_c0_f0006.jpg
7,1,0,851,363,17288,0,"882,220;848,272;815,281;806,251;798,251;788,274;750,296;751,306;764,284;790,279;821,345;815,351;788,330;827,377;779,382;829,391;839,467;825,488;836,497;883,488;900,472;900,460;877,451;874,398;892,389;900,419;910,402;900,383;880,384;876,374;931,303;918,305;881,347;871,335;893,252;891,225",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r765_c0_f0007.jpg
7,2,0,1001,251,8916,0,"1028,174;994,182;1006,185;1008,194;975,244;936,240;892,254;899,260;967,259;971,267;954,287;966,309;974,308;991,284;1021,267;1026,282;1012,336;1029,317;1040,322;1045,294;1066,298;1052,285;1050,260;1030,245;1034,237;1061,232;1069,219;1030,236;1035,192;1060,191",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r765_c0_f0007.jpg
8,1,0,851,364,17083,0,"881,221;874,250;834,275;825,260;818,304;802,251;770,272;789,272;820,345;788,332;827,377;779,382;828,389;839,462;825,488;840,497;881,488;900,472;899,459;877,451;874,398;892,389;901,416;910,402;900,382;881,384;877,370;934,303;928,298;882,347;871,335;894,251;893,230",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r171_c0_f0008.jpg
8,2,0,1001,251,9126,0,"1019,174;994,182;1008,186;1008,194;975,244;936,239;899,246;892,257;968,260;971,266;954,286;965,309;993,282;1022,269;1009,333;1013,336;1025,320;1031,341;1035,324;1029,319;1037,315;1041,295;1062,298;1052,286;1049,259;1031,244;1062,232;1069,222;1031,236;1036,192;1061,192;1037,176",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r171_c0_f0008.jpg
9,1,0,851,364,16910,0,"882,222;874,224;868,257;844,274;825,267;821,304;805,286;802,250;769,266;789,264;811,330;807,339;789,334;827,370;826,379;780,382;830,393;839,463;825,488;834,496;881,488;900,471;899,459;877,451;874,397;891,388;902,416;910,402;901,383;880,383;876,370;935,303;876,345;869,324;895,245",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r283_c0_f0009.jpg
9,2,0,1000,251,9171,0,"1018,174;995,182;1009,187;1007,197;975,243;909,243;896,247;892,256;962,259;967,266;952,287;964,306;993,281;1017,271;1022,282;1008,334;1014,335;1024,319;1031,341;1038,288;1055,292;1049,259;1030,245;1069,224;1031,234;1036,192;1061,192;1038,176",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r283_c0_f0009.jpg
10,1,0,850,359,18085,0,"882,221;872,224;869,254;844,269;807,260;798,245;766,260;790,259;790,287;806,319;788,329;827,371;825,378;780,382;827,388;838,466;825,488;839,496;879,488;900,471;900,459;877,452;877,396;892,389;901,417;910,415;910,400;900,382;881,382;877,372;932,313;919,312;882,347;871,334;896,246",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r746_c0_f0010.jpg
10,2,0,999,251,9204,0,"1018,174;996,182;1009,186;1007,198;975,244;915,241;897,246;893,256;962,259;964,266;949,286;955,302;1016,271;1021,279;1016,309;1003,335;1013,335;1023,317;1028,333;1022,340;1030,340;1038,292;1052,295;1050,260;1031,245;1061,234;1069,224;1031,235;1036,192;1061,192;1060,187",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r746_c0_f0010.jpg
11,1,0,849,357,18334,0,"882,220;872,223;868,255;845,268;799,244;759,256;790,255;787,287;803,315;792,329;827,369;826,378;780,382;829,391;838,465;824,484;835,495;880,487;899,471;900,459;876,451;877,397;891,388;900,415;909,417;909,395;900,382;881,382;878,370;936,314;927,311;876,344;871,324;896,245",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r698_c0_f0011.jpg
11,2,0,999,251,9296,0,"1016,174;998,181;1009,186;1006,200;975,243;909,242;897,246;893,256;960,260;947,287;954,300;965,300;1014,270;1020,282;1009,329;1002,335;1011,334;1023,317;1030,338;1038,297;1050,296;1049,261;1031,245;1061,234;1069,224;1031,235;1036,192;1061,191;1040,176",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/r698_c0_f0011.jpg
