Global_Frame_ID,Object_ID,Class_ID,Centroid_X,Centroid_Y,Size_Pixels,Size_um2,Polygon_Coords,Image_Path
0,1,0,51,630,2744,0,"65,591;51,589;40,601;34,620;31,646;36,665;26,673;26,678;41,666;43,668;44,677;48,681;51,681;48,676;48,666;60,660;66,652;73,623;73,606;70,595",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,2,0,146,396,1819,0,"105,387;113,393;108,399;108,402;115,397;126,407;143,412;167,414;176,411;180,405;180,399;176,391;166,385;141,380;129,380;113,389",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,3,0,447,463,3600,0,"425,423;419,426;413,435;412,445;414,452;445,494;468,504;464,523;466,523;469,515;477,508;473,499;479,487;479,471;465,447;444,426;438,423",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,4,0,463,562,2181,0,"478,530;466,530;459,534;456,537;446,559;442,571;442,586;445,592;450,596;461,596;469,591;474,584;476,577;480,571;486,555;486,541;484,534",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,5,0,327,325,2460,0,"367,318;362,310;351,307;312,310;302,314;294,323;272,316;277,321;288,324;293,328;291,334;276,339;273,342;278,342;292,335;296,335;303,341;313,344;351,340;361,336;365,332;368,323",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,6,0,480,228,1758,0,"476,192;468,198;466,212;467,237;473,251;482,260;482,265;478,276;481,275;485,266;491,274;492,278;493,272;490,267;489,260;494,247;493,214;489,198;483,193",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,7,0,447,146,2214,0,"427,115;420,122;420,135;423,141;446,172;452,176;462,176;467,179;467,189;467,177;470,174;473,174;475,170;474,156;472,152;445,117;435,114",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,8,0,373,83,4171,0,"443,105;428,86;421,85;418,81;428,72;435,48;431,51;426,67;418,73;413,73;396,61;351,63;321,72;323,95;330,102;346,108;400,104;420,87",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,9,0,557,306,3083,0,"570,265;562,264;549,272;540,292;533,323;524,330;525,334;536,333;543,340;538,342;535,351;538,350;544,342;548,345;549,349;552,348;555,342;566,342;570,338;577,318;581,295;580,276;575,268",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,10,0,819,262,1768,0,"851,248;842,244;830,244;803,252;791,264;783,261;780,262;793,270;793,275;782,292;787,290;788,286;797,277;806,280;815,280;841,271;848,266;852,260",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,11,0,896,148,2932,0,"908,107;897,108;894,106;879,121;876,156;877,171;883,185;894,191;905,188;910,183;915,171;917,130;916,121",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
0,12,0,973,268,1878,0,"985,237;974,235;968,238;960,258;958,272;959,292;949,296;940,297;940,300;947,300;961,295;965,296;968,299;968,303;972,306;972,300;986,287;991,265;991,246",/mnt/Zebrafish_24TB/Mahmood-Yousaf-Data/TAAM-Track-Any-Aquatic-Model/TAAM_Workspace/TAAM_Workspace/Datasets/Exp_1/sampling_pool/v_0_0000_884.jpg
