epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68334,1.36428,2.48613,1.14128,0.00717,0.96996,0.02722,0.01838,1.0948,3.04683,0.9943,0.000651852,0.000651852,0.000651852
2,18.8374,1.05159,1.20714,0.98007,0.98966,0.41061,0.93034,0.61824,0.98852,2.45385,0.97561,0.00126631,0.00126631,0.00126631
3,27.0088,0.92139,1.02837,0.9421,0.63254,0.78313,0.77669,0.57359,0.94263,1.34392,1.00468,0.00182796,0.00182796,0.00182796
4,36.3895,0.95295,0.95101,0.96605,0.67812,0.91845,0.7463,0.57201,0.8651,1.25845,0.9812,0.0017624,0.0017624,0.0017624
5,44.2565,0.84821,0.8664,0.93325,0.98227,0.95092,0.98119,0.74855,0.83233,0.70886,0.98198,0.0016832,0.0016832,0.0016832
6,52.9662,0.82118,0.76928,0.90871,0.9697,0.96137,0.97886,0.739,0.80996,0.7114,0.96327,0.001604,0.001604,0.001604
7,63.1203,0.7782,0.72141,0.90007,0.96141,0.93133,0.96903,0.76756,0.7584,0.70688,0.92557,0.0015248,0.0015248,0.0015248
8,72.6333,0.75955,0.67768,0.8912,0.95784,0.97854,0.97981,0.79333,0.74067,0.60676,0.93857,0.0014456,0.0014456,0.0014456
9,81.2364,0.7284,0.65253,0.88812,0.99549,0.94789,0.98067,0.79007,0.69095,0.58613,0.93917,0.0013664,0.0013664,0.0013664
10,91.2066,0.70862,0.61264,0.88649,0.98671,0.95614,0.98493,0.7709,0.75438,0.54372,0.95198,0.0012872,0.0012872,0.0012872
11,99.3124,0.69288,0.58594,0.88516,0.90166,0.98283,0.9747,0.79497,0.72002,0.55198,0.94829,0.001208,0.001208,0.001208
12,107.134,0.66842,0.57117,0.87797,0.96535,0.97854,0.97912,0.79917,0.73977,0.51767,0.91289,0.0011288,0.0011288,0.0011288
13,114.944,0.70512,0.56288,0.87753,0.96608,0.97779,0.98025,0.79225,0.7479,0.47256,0.92732,0.0010496,0.0010496,0.0010496
14,123.988,0.68262,0.54001,0.88126,0.9574,0.98283,0.98243,0.82966,0.61907,0.44165,0.89494,0.0009704,0.0009704,0.0009704
15,132.267,0.64686,0.50951,0.86466,0.99472,0.95279,0.98585,0.81133,0.6367,0.43329,0.90159,0.0008912,0.0008912,0.0008912
16,141.533,0.59414,0.52027,0.86518,0.99548,0.94547,0.98124,0.83165,0.6014,0.43697,0.87908,0.000812,0.000812,0.000812
17,149.943,0.55644,0.49828,0.85434,0.96194,0.97425,0.98511,0.84065,0.58929,0.43323,0.88788,0.0007328,0.0007328,0.0007328
18,159.236,0.57438,0.50146,0.85083,0.96188,0.98283,0.98246,0.83839,0.59793,0.42968,0.88928,0.0006536,0.0006536,0.0006536
19,167.451,0.54652,0.46994,0.84631,0.98752,0.9485,0.98185,0.8414,0.57855,0.40941,0.87621,0.0005744,0.0005744,0.0005744
20,175.066,0.54869,0.46117,0.83372,0.99409,0.9485,0.98268,0.84249,0.56688,0.40311,0.87712,0.0004952,0.0004952,0.0004952
21,183.254,0.53007,0.44255,0.84335,0.98957,0.9485,0.98479,0.84692,0.56903,0.39169,0.87614,0.000416,0.000416,0.000416
22,190.99,0.51104,0.42845,0.84299,0.9894,0.9485,0.98343,0.85297,0.5454,0.39668,0.8722,0.0003368,0.0003368,0.0003368
23,199.18,0.50687,0.4268,0.84092,0.99549,0.94703,0.98572,0.85562,0.55532,0.38098,0.87287,0.0002576,0.0002576,0.0002576
24,207.806,0.47499,0.41334,0.82705,0.99356,0.94421,0.98698,0.85833,0.54024,0.37475,0.86754,0.0001784,0.0001784,0.0001784
25,216.355,0.47378,0.40173,0.82269,0.99549,0.94685,0.98731,0.86518,0.52275,0.36612,0.86423,9.92e-05,9.92e-05,9.92e-05
